"full_name","e","q","i","om","w","ad","per_y","class","n_obs_used","A1","A2","A3","DT","spkid","prefix","neo","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","a","ma","n","tp","per","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","rms","A1_sigma","A2_sigma","A3_sigma","DT_sigma"
"    1P/Halley",0.9679,0.575,162.20,59.07,112.21,35.28,75.9,HTC,8518,4.9e-10,1.6e-10,,,1000036,P,Y,5.5,13.6,8.0,5.0,0.03,11.0,14.9x8.2,0.04,,,"JPL 74",2439907.5,39907,1968-02-21.0,J2000,17.93,274.81,0.01298,2446469.70,2.77e+04,0.0745,29,0.783,-0.598,7.5e-09,9.9e-09,1.4e-07,1.5e-05,2.0e-05,2.1e-05,1.2e-07,1.9e-08,1.1e-11,1.3e-05,2.3e-05,.61052,4.0e-11,4.6e-15,,
"    2P/Encke",0.8483,0.337,11.47,334.28,187.05,4.10,3.31,ETc,585,3.1e-10,6.5e-12,,,1000025,P,Y,15.6,,4.5,,,4.8,,0.046,11.083,,"JPL K232/8",2459778.5,59778,2022-07-18.0,J2000,2.22,222.67,0.298,2460239.25,1.21e+03,0.168,65.3,0.907,3.02,2.4e-07,1.5e-07,5.5e-07,2.1e-05,5.8e-05,5.9e-05,1.0e-05,2.7e-07,3.0e-08,7.5e-05,1.2e-04,.45828,7.5e-11,6.1e-12,,
"    3D/Biela",0.7513,0.879,13.22,250.67,221.66,6.19,6.65,JFc,26,3.9e-09,-2.5e-10,,,1000504,D,Y,7.1,,10.0,,,,,,,,IAUCAT03,2390520.5,-9480,1832-12-03.0,J2000,3.535,0.95,0.1483,2390514.12,2.43e+03,0.000518,0.202,,2.53,,,,,,,,,,,,,,,,
"    4P/Faye",0.5845,1.578,8.16,194.80,205.99,6.02,7.4,JFc,3562,4.0e-09,3.2e-10,-7.1e-10,-37.7,1000026,P,,11.0,13.2,9.5,5.,0.03,3.54,,,,,"JPL K212/32",2458522.5,58522,2019-02-08.0,J2000,3.798,234.73,0.1332,2459463.19,2.7e+03,0.589,229,0.0663,2.74,1.1e-07,2.0e-07,4.5e-07,5.8e-06,6.2e-05,7.0e-05,1.5e-05,3.1e-07,1.0e-08,5.7e-05,2.1e-04,.54329,1.2e-10,6.3e-11,4.2e-11,2.17
"    5D/Brorsen",0.8098,0.590,29.38,102.97,14.95,5.61,5.46,JFc,127,1.3e-08,1.3e-09,,,1000505,D,Y,8.3,,10.0,,,,,,,,IAUCAT03,2407440.5,7440,1879-04-01.0,J2000,3.101,0.17,0.1805,2407439.53,1.99e+03,0.367,143,,2.47,,,,,,,,,,,,,,,,
"    6P/d'Arrest",0.6127,1.355,19.51,138.94,178.11,5.64,6.54,JFc,1093,1.8e-10,-8.5e-10,,,1000017,P,,15.9,,8.5,,,3.2,,,,,"JPL K212/13",2459302.5,59302,2021-03-29.0,J2000,3.497,333.96,0.1507,2459475.29,2.39e+03,0.343,133,0.208,2.71,1.4e-07,6.2e-07,7.1e-07,9.0e-06,3.0e-05,7.4e-05,1.5e-05,1.0e-06,4.0e-08,7.0e-05,6.4e-04,.63861,2.7e-10,1.2e-10,,
"    7P/Pons-Winnecke",0.6376,1.239,22.33,93.42,172.51,5.60,6.32,JFc,1679,6.4e-11,-5.2e-12,-1.0e-10,150,1000069,P,Y,16.0,,4.5,,,5.2,,,,,"JPL 30",2457137.5,57137,2015-04-25.0,J2000,3.419,13.17,0.1559,2457053.03,2.31e+03,0.226,87.8,0.273,2.68,2.9e-08,3.0e-08,1.0e-07,7.1e-06,1.4e-05,1.8e-05,2.8e-06,5.0e-08,2.1e-09,1.9e-05,3.1e-05,.66978,3.6e-13,5.0e-13,2.8e-12,5.52
"    8P/Tuttle",0.8198,1.027,54.98,270.34,207.51,10.37,13.6,JFC,1768,4.2e-10,-1.7e-11,-4.6e-11,67.5,1000099,P,Y,14.6,,4.5,,,4.5,,,,,"JPL K215/24",2454701.5,54701,2008-08-23.0,J2000,5.7,15.13,0.07242,2454492.52,4.97e+03,0.0953,37.1,0.738,1.6,4.1e-08,5.2e-07,2.7e-07,1.2e-05,3.1e-05,2.9e-05,7.8e-07,9.4e-07,9.9e-09,2.8e-05,6.8e-04,.6884,4.3e-11,1.5e-11,6.6e-11,12.8
"    9P/Tempel 1",0.5097,1.543,10.47,68.76,179.19,4.75,5.58,JFc,3264,2.0e-11,1.2e-11,,,1000093,P,,12.9,,9.,,,6.0,7.6x4.9,0.05,40.7,,"JPL K223/45",2457450.5,57450,2016-03-03.0,J2000,3.146,333.06,0.1766,2457603.07,2.04e+03,0.528,206,0.296,2.97,4.8e-08,8.0e-08,1.8e-07,4.2e-06,3.7e-05,3.8e-05,5.8e-06,1.2e-07,6.8e-09,3.4e-05,7.8e-05,.4882,2.3e-11,1.2e-12,,
"   10P/Tempel 2",0.5364,1.421,12.03,117.80,195.54,4.71,5.37,JFc,4534,2.3e-10,5.4e-12,7.4e-11,,1000094,P,,14.3,,5.,,,10.6,,0.022,8.93,,"JPL K265/11",2456422.5,56422,2013-05-10.0,J2000,3.065,191.17,0.1837,2457341.59,1.96e+03,0.409,159,0.622,2.96,3.6e-08,3.9e-08,1.2e-07,3.2e-06,2.0e-05,2.1e-05,4.5e-06,6.0e-08,3.5e-09,3.7e-05,3.8e-05,.62289,1.5e-11,5.7e-13,1.7e-11,
